state,policy,tax_amount,unit,year,note,source
Tennessee,State beer excise tax,1.290,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Texas,State beer excise tax,0.200,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Utah,State beer excise tax,0.410,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Vermont,State beer excise tax,0.270,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Virginia,State beer excise tax,0.260,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Washington,State beer excise tax,0.260,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
West Virginia,State beer excise tax,0.180,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Wisconsin,State beer excise tax,0.060,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Wyoming,State beer excise tax,0.020,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
D.C.,State beer excise tax,0.700,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-beer-taxes-2018/
Alabama,State distilled liquor tax,18.270,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Alaska,State distilled liquor tax,12.800,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Arizona,State distilled liquor tax,3.000,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Arkansas,State distilled liquor tax,7.730,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
California,State distilled liquor tax,3.300,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Colorado,State distilled liquor tax,2.280,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Connecticut,State distilled liquor tax,5.400,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Delaware,State distilled liquor tax,4.500,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Florida,State distilled liquor tax,6.500,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Georgia,State distilled liquor tax,3.790,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Hawaii,State distilled liquor tax,5.980,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Idaho,State distilled liquor tax,10.950,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Illinois,State distilled liquor tax,8.550,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Indiana,State distilled liquor tax,2.680,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Iowa,State distilled liquor tax,13.070,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Kansas,State distilled liquor tax,2.500,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Kentucky,State distilled liquor tax,7.860,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Louisiana,State distilled liquor tax,3.030,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Maine,State distilled liquor tax,5.830,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Maryland,State distilled liquor tax,5.000,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Massachusetts,State distilled liquor tax,4.050,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Michigan,State distilled liquor tax,11.990,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Minnesota,State distilled liquor tax,8.960,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Mississippi,State distilled liquor tax,8.150,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Missouri,State distilled liquor tax,2.000,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Montana,State distilled liquor tax,9.780,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Nebraska,State distilled liquor tax,3.750,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Nevada,State distilled liquor tax,3.600,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
New Hampshire,State distilled liquor tax,,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
New Jersey,State distilled liquor tax,5.500,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
New Mexico,State distilled liquor tax,6.060,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
New York,State distilled liquor tax,6.440,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
North Carolina,State distilled liquor tax,14.630,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
North Dakota,State distilled liquor tax,4.660,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Ohio,State distilled liquor tax,9.870,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Oklahoma,State distilled liquor tax,5.560,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Oregon,State distilled liquor tax,22.750,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Pennsylvania,State distilled liquor tax,7.240,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Rhode Island,State distilled liquor tax,5.400,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
South Carolina,State distilled liquor tax,5.420,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
South Dakota,State distilled liquor tax,4.670,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Tennessee,State distilled liquor tax,4.460,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Texas,State distilled liquor tax,2.400,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Utah,State distilled liquor tax,15.380,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Vermont,State distilled liquor tax,7.720,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Virginia,State distilled liquor tax,19.930,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Washington,State distilled liquor tax,32.520,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
West Virginia,State distilled liquor tax,7.670,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Wisconsin,State distilled liquor tax,3.250,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Wyoming,State distilled liquor tax,,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
D.C.,State distilled liquor tax,6.170,dollars per gallon,2018,,Tax Foundation: https://taxfoundation.org/state-spirits-taxes-2018/
Alabama,State gasoline tax,0.190,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Alaska,State gasoline tax,0.090,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Arizona,State gasoline tax,0.190,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Arkansas,State gasoline tax,0.218,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
California,State gasoline tax,0.372,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Colorado,State gasoline tax,0.233,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Connecticut,State gasoline tax,0.250,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Delaware,State gasoline tax,0.230,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
District of Columbia,State gasoline tax,0.235,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Florida,State gasoline tax,0.306,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Georgia,State gasoline tax,0.265,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Hawaii,State gasoline tax,0.185,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Idaho,State gasoline tax,0.330,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Illinois,State gasoline tax,0.331,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Indiana,State gasoline tax,0.290,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Iowa,State gasoline tax,0.318,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Kansas,State gasoline tax,0.250,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Kentucky,State gasoline tax,0.260,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Louisiana,State gasoline tax,0.209,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Maine,State gasoline tax,0.314,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Maryland,State gasoline tax,0.328,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Massachusetts,State gasoline tax,0.267,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Michigan,State gasoline tax,0.309,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Minnesota,State gasoline tax,0.306,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Mississippi,State gasoline tax,0.184,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Missouri,State gasoline tax,0.173,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Montana,State gasoline tax,0.278,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Nebraska,State gasoline tax,0.277,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Nevada,State gasoline tax,0.238,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
New Hampshire,State gasoline tax,0.238,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
New Jersey,State gasoline tax,0.146,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
New Mexico,State gasoline tax,0.189,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
New York,State gasoline tax,0.333,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
North Carolina,State gasoline tax,0.353,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
North Dakota,State gasoline tax,0.230,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Ohio,State gasoline tax,0.280,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Oklahoma,State gasoline tax,0.170,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Oregon,State gasoline tax,0.300,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Pennsylvania,State gasoline tax,0.514,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Rhode Island,State gasoline tax,0.341,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
South Carolina,State gasoline tax,0.168,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
South Dakota,State gasoline tax,0.300,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Tennessee,State gasoline tax,0.214,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Texas,State gasoline tax,0.200,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Utah,State gasoline tax,0.301,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Vermont,State gasoline tax,0.305,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Virginia,State gasoline tax,0.168,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Washington,State gasoline tax,0.446,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
West Virginia,State gasoline tax,0.332,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Wisconsin,State gasoline tax,0.329,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Wyoming,State gasoline tax,0.240,dollars per gallon,2016,Includes a few other state-level taxes affecting gasoline,Energy Information Administration: https://www.eia.gov/petroleum/marketing/monthly/xls/fueltaxes.xls
Alabama,State distilled liquor tax,18.250,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Alaska,State distilled liquor tax,12.800,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Arizona,State distilled liquor tax,3.000,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Arkansas,State distilled liquor tax,6.880,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
California,State distilled liquor tax,3.300,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Colorado,State distilled liquor tax,2.280,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Connecticut,State distilled liquor tax,5.400,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Delaware,State distilled liquor tax,3.750,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
District of Columbia,State distilled liquor tax,5.690,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Florida,State distilled liquor tax,6.500,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Georgia,State distilled liquor tax,3.790,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Hawaii,State distilled liquor tax,5.980,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Idaho,State distilled liquor tax,10.940,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Illinois,State distilled liquor tax,8.550,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Indiana,State distilled liquor tax,2.680,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Iowa,State distilled liquor tax,12.520,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Kansas,State distilled liquor tax,2.500,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Kentucky,State distilled liquor tax,7.540,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Louisiana,State distilled liquor tax,2.500,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Maine,State distilled liquor tax,5.820,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Maryland,State distilled liquor tax,4.640,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Massachusetts,State distilled liquor tax,4.050,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Michigan,State distilled liquor tax,11.940,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Minnesota,State distilled liquor tax,8.670,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Mississippi,State distilled liquor tax,7.740,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Missouri,State distilled liquor tax,2.000,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Montana,State distilled liquor tax,9.770,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Nebraska,State distilled liquor tax,3.750,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Nevada,State distilled liquor tax,3.600,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
New Hampshire,State distilled liquor tax,0.000,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
New Jersey,State distilled liquor tax,5.500,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
New Mexico,State distilled liquor tax,6.060,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
New York,State distilled liquor tax,6.440,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
North Carolina,State distilled liquor tax,12.480,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
North Dakota,State distilled liquor tax,4.660,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Ohio,State distilled liquor tax,9.860,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Oklahoma,State distilled liquor tax,5.560,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Oregon,State distilled liquor tax,22.740,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Pennsylvania,State distilled liquor tax,7.230,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Rhode Island,State distilled liquor tax,5.400,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
South Carolina,State distilled liquor tax,5.420,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
South Dakota,State distilled liquor tax,4.630,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Tennessee,State distilled liquor tax,4.460,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Texas,State distilled liquor tax,2.400,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Utah,State distilled liquor tax,12.750,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Vermont,State distilled liquor tax,7.710,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Virginia,State distilled liquor tax,19.860,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Washington,State distilled liquor tax,33.540,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
West Virginia,State distilled liquor tax,2.110,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Wisconsin,State distilled liquor tax,3.250,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Wyoming,State distilled liquor tax,0.000,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-taxes-distilled-spirits-your-state-2016/
Alabama,State wine excise tax,1.700,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Alaska,State wine excise tax,2.500,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Arizona,State wine excise tax,0.840,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Arkansas,State wine excise tax,1.350,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
California,State wine excise tax,0.200,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Colorado,State wine excise tax,0.320,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Connecticut,State wine excise tax,0.720,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Delaware,State wine excise tax,0.970,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
District of Columbia,State wine excise tax,1.720,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Florida,State wine excise tax,2.250,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Georgia,State wine excise tax,1.510,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Hawaii,State wine excise tax,1.380,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Idaho,State wine excise tax,0.450,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Illinois,State wine excise tax,1.390,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Indiana,State wine excise tax,0.470,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Iowa,State wine excise tax,1.750,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Kansas,State wine excise tax,0.300,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Kentucky,State wine excise tax,3.300,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Louisiana,State wine excise tax,0.110,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
Maine,State wine excise tax,0.600,dollars per gallon,2016,,Tax Foundation: https://taxfoundation.org/how-high-are-wine-taxes-your-state-2016/
